length_nm,ngm_id,ngmro
180,22.56,120.7
180,22.34,120.9
180,22.12,121.4
180,21.88,122.1
180,21.63,123
180,21.37,124.1
180,21.08,125.4
180,20.76,126.8
180,20.41,128.3
180,20.01,130
180,19.57,131.6
180,19.09,133.1
180,18.57,134.6
180,18,135.8
180,17.4,136.9
180,16.78,137.7
180,16.13,138.1
180,15.47,138.3
180,14.81,138.1
180,14.15,137.6
180,13.5,136.8
180,12.86,135.8
180,12.24,134.4
180,11.64,132.8
180,11.08,131
180,10.53,129
180,10.02,126.9
180,9.534,124.7
180,9.077,122.4
180,8.648,120
180,8.247,117.6
180,7.871,115.2
180,7.52,112.8
180,7.192,110.4
180,6.886,108
180,6.6,105.7
180,6.334,103.4
180,6.085,101.2
180,5.853,99.04
180,5.636,96.92
180,5.433,94.87
180,5.243,92.87
180,5.064,90.93
180,4.897,89.05
180,4.74,87.22
180,4.592,85.45
180,4.453,83.73
180,4.322,82.06
180,4.198,80.44
180,4.081,78.86
180,3.97,77.33
180,3.865,75.85
180,3.765,74.4
180,3.67,72.99
180,3.58,71.62
180,3.494,70.28
180,3.412,68.98
180,3.333,67.71
180,3.258,66.47
180,3.187,65.26
180,3.118,64.08
180,3.052,62.93
180,2.989,61.8
180,2.928,60.69
180,2.87,59.61
180,2.813,58.56
180,2.759,57.52
180,2.707,56.51
180,2.657,55.52
180,2.608,54.55
180,2.561,53.6
180,2.516,52.66
180,2.472,51.75
180,2.429,50.85
180,2.388,49.97
180,2.348,49.11
180,2.309,48.27
180,2.271,47.44
180,2.235,46.63
180,2.199,45.83
180,2.165,45.05
360,22.03,136.6
360,21.76,137.6
360,21.47,138.7
360,21.14,139.9
360,20.77,141.2
360,20.35,142.5
360,19.89,143.9
360,19.38,145.1
360,18.83,146.2
360,18.23,147.1
360,17.61,147.8
360,16.96,148.3
360,16.29,148.5
360,15.61,148.5
360,14.94,148.2
360,14.27,147.7
360,13.61,146.9
360,12.97,145.9
360,12.35,144.6
360,11.76,143.2
360,11.19,141.7
360,10.65,140
360,10.15,138.2
360,9.666,136.4
360,9.216,134.5
360,8.794,132.5
360,8.399,130.6
360,8.029,128.6
360,7.684,126.7
360,7.362,124.7
360,7.061,122.8
360,6.78,121
360,6.518,119.2
360,6.273,117.4
360,6.044,115.6
360,5.83,114
360,5.629,112.3
360,5.441,110.7
360,5.265,109.2
360,5.099,107.7
360,4.943,106.2
360,4.797,104.8
360,4.658,103.4
360,4.528,102
