length_nm,ngm_id,ngmro
180,22.91,41.05
180,22.75,40.74
180,22.58,40.41
180,22.4,40.05
180,22.21,39.64
180,22,39.16
180,21.76,38.59
180,21.49,37.91
180,21.16,37.09
180,20.79,36.12
180,20.36,34.99
180,19.86,33.69
180,19.32,32.23
180,18.72,30.63
180,18.07,28.92
180,17.39,27.12
180,16.68,25.25
180,15.95,23.37
180,15.21,21.49
180,14.48,19.65
180,13.75,17.87
180,13.03,16.16
180,12.34,14.55
180,11.67,13.05
180,11.03,11.65
180,10.42,10.37
180,9.831,9.202
180,9.277,8.148
180,8.753,7.204
180,8.259,6.365
180,7.793,5.625
180,7.357,4.977
180,6.947,4.412
180,6.565,3.922
180,6.208,3.5
180,5.876,3.135
180,5.567,2.82
180,5.28,2.549
180,5.015,2.315
180,4.768,2.112
180,4.54,1.936
180,4.329,1.782
180,4.133,1.646
180,3.951,1.528
180,3.782,1.422
180,3.625,1.329
180,3.479,1.245
180,3.342,1.171
180,3.215,1.103
180,3.096,1.043
180,2.984,0.9875
180,2.879,0.9373
180,2.781,0.8915
180,2.689,0.8495
180,2.601,0.8109
180,2.519,0.7753
180,2.441,0.7424
180,2.368,0.7119
180,2.298,0.6836
180,2.232,0.6572
180,2.169,0.6326
180,2.109,0.6095
180,2.052,0.588
180,1.998,0.5677
180,1.946,0.5486
180,1.896,0.5306
180,1.849,0.5137
180,1.803,0.4976
180,1.76,0.4825
180,1.718,0.4681
180,1.678,0.4544
180,1.639,0.4414
180,1.602,0.429
180,1.567,0.4173
180,1.532,0.406
180,1.499,0.3953
180,1.467,0.385
180,1.436,0.3752
180,1.406,0.3658
180,1.378,0.3568
180,1.35,0.3481
360,22.54,69.79
360,22.32,69.25
360,22.08,68.56
360,21.8,67.68
360,21.47,66.56
360,21.08,65.16
360,20.64,63.44
360,20.14,61.38
360,19.58,58.97
360,18.98,56.24
360,18.32,53.22
360,17.64,49.95
360,16.93,46.48
360,16.2,42.89
360,15.47,39.25
360,14.74,35.6
360,14.02,32.03
360,13.32,28.59
360,12.64,25.31
360,11.98,22.24
360,11.34,19.41
360,10.74,16.83
360,10.16,14.52
360,9.603,12.47
360,9.078,10.68
360,8.581,9.142
360,8.109,7.827
360,7.663,6.717
360,7.244,5.786
360,6.849,5.008
360,6.48,4.361
360,6.134,3.823
360,5.813,3.374
360,5.514,2.999
360,5.236,2.684
360,4.979,2.417
360,4.74,2.191
360,4.519,1.997
360,4.315,1.831
360,4.125,1.686
360,3.949,1.56
360,3.785,1.45
360,3.633,1.353
360,3.491,1.266
360,3.358,1.189
360,3.235,1.12
360,3.119,1.058
360,3.01,1.002
360,2.909,0.9505
360,2.813,0.904
360,2.722,0.8615
360,2.637,0.8225
360,2.557,0.7866
360,2.481,0.7534
360,2.409,0.7228
360,2.341,0.6943
360,2.276,0.6678
360,2.214,0.6431
360,2.155,0.62
360,2.099,0.5984
360,2.046,0.5781
360,1.995,0.559
360,1.946,0.541
360,1.899,0.5241
360,1.854,0.5081
360,1.811,0.4929
360,1.77,0.4786
360,1.731,0.4649
360,1.693,0.452
360,1.656,0.4397
360,1.621,0.4279
360,1.587,0.4167
360,1.554,0.406
360,1.523,0.3958
360,1.492,0.3861
360,1.463,0.3767
360,1.434,0.3678
360,1.407,0.3592
360,1.38,0.3509
360,1.354,0.343
360,1.329,0.3354
540,22.36,89.1
540,22.1,88.27
540,21.81,87.19
540,21.46,85.79
540,21.06,84.02
540,20.6,81.82
540,20.09,79.17
540,19.52,76.05
540,18.9,72.48
540,18.23,68.5
540,17.54,64.17
540,16.83,59.55
540,16.1,54.75
540,15.37,49.84
540,14.65,44.94
540,13.94,40.13
540,13.24,35.49
540,12.57,31.1
540,11.92,27.02
540,11.3,23.28
540,10.7,19.93
540,10.13,16.95
540,9.586,14.36
540,9.07,12.14
540,8.58,10.25
540,8.115,8.672
540,7.674,7.358
540,7.259,6.274
540,6.868,5.382
540,6.501,4.649
540,6.157,4.047
540,5.837,3.55
540,5.539,3.139
540,5.262,2.797
540,5.005,2.51
540,4.767,2.267
540,4.546,2.061
540,4.341,1.884
540,4.151,1.732
540,3.975,1.6
540,3.811,1.484
540,3.659,1.383
540,3.517,1.293
540,3.384,1.213
540,3.26,1.141
540,3.144,1.077
540,3.035,1.019
540,2.933,0.9665
540,2.837,0.9188
540,2.747,0.8751
540,2.662,0.8351
540,2.581,0.7984
540,2.505,0.7645
540,2.433,0.7332
540,2.364,0.7041
540,2.299,0.6771
540,2.237,0.6519
540,2.178,0.6284
540,2.122,0.6064
540,2.068,0.5858
540,2.017,0.5664
540,1.968,0.5482
540,1.921,0.531
540,1.877,0.5147
540,1.834,0.4994
540,1.792,0.4848
540,1.753,0.471
540,1.714,0.4579
540,1.678,0.4454
540,1.642,0.4336
540,1.608,0.4222
540,1.576,0.4115
540,1.544,0.4011
540,1.513,0.3913
540,1.484,0.3818
540,1.455,0.3728
540,1.428,0.3641
540,1.401,0.3558
540,1.375,0.3478
540,1.35,0.3402
540,1.326,0.3328
720,22.17,103.5
720,21.88,102.3
720,21.54,100.7
720,21.14,98.67
720,20.69,96.16
720,20.18,93.13
720,19.61,89.54
720,19,85.42
720,18.34,80.78
720,17.65,75.7
720,16.94,70.26
720,16.22,64.55
720,15.49,58.7
720,14.77,52.82
720,14.06,47.04
720,13.36,41.45
720,12.69,36.17
720,12.04,31.26
720,11.42,26.79
720,10.82,22.78
720,10.25,19.25
720,9.704,16.2
720,9.186,13.59
720,8.694,11.39
720,8.227,9.565
720,7.784,8.058
720,7.365,6.822
720,6.97,5.814
720,6.599,4.991
720,6.251,4.32
720,5.926,3.77
720,5.623,3.317
720,5.341,2.943
720,5.08,2.63
720,4.837,2.368
720,4.612,2.146
720,4.404,1.957
720,4.21,1.794
720,4.03,1.654
720,3.864,1.531
720,3.708,1.424
720,3.564,1.329
720,3.429,1.245
720,3.303,1.17
720,3.185,1.103
720,3.074,1.042
720,2.97,0.9878
720,2.873,0.9382
720,2.781,0.8929
720,2.694,0.8515
720,2.612,0.8135
720,2.535,0.7785
720,2.461,0.7462
720,2.392,0.7162
720,2.326,0.6884
720,2.263,0.6625
720,2.203,0.6384
720,2.147,0.6158
720,2.092,0.5947
720,2.04,0.5748
720,1.991,0.5562
720,1.943,0.5386
720,1.898,0.522
720,1.854,0.5063
720,1.813,0.4914
720,1.773,0.4773
720,1.734,0.464
720,1.697,0.4513
720,1.661,0.4392
720,1.627,0.4277
720,1.594,0.4167
720,1.562,0.4062
720,1.531,0.3962
720,1.501,0.3866
720,1.472,0.3774
720,1.444,0.3686
720,1.417,0.3602
720,1.391,0.3521
720,1.366,0.3443
720,1.342,0.3368
720,1.318,0.3296
900,22,115
900,21.68,113.3
900,21.3,111.1
900,20.87,108.5
900,20.38,105.2
900,19.83,101.4
900,19.24,96.91
900,18.59,91.86
900,17.91,86.28
900,17.21,80.24
900,16.49,73.87
900,15.77,67.28
900,15.04,60.62
900,14.33,54.03
900,13.63,47.62
900,12.95,41.54
900,12.29,35.87
900,11.66,30.68
900,11.05,26.03
900,10.48,21.94
900,9.924,18.39
900,9.399,15.36
900,8.898,12.82
900,8.423,10.7
900,7.972,8.964
900,7.545,7.544
900,7.141,6.389
900,6.761,5.451
900,6.404,4.689
900,6.07,4.069
900,5.758,3.561
900,5.468,3.143
900,5.198,2.796
900,4.947,2.506
900,4.715,2.263
900,4.5,2.056
900,4.3,1.879
900,4.114,1.727
900,3.942,1.595
900,3.782,1.48
900,3.632,1.378
900,3.493,1.289
900,3.363,1.209
900,3.242,1.138
900,3.128,1.074
900,3.021,1.016
900,2.921,0.9641
900,2.827,0.9166
900,2.738,0.8732
900,2.654,0.8334
900,2.574,0.7969
