length_nm,ngm_id,nidw
720,6.341,3.843
720,6.114,4.09
720,5.902,4.343
720,5.703,4.602
720,5.517,4.868
720,5.342,5.139
720,5.178,5.417
720,5.023,5.7
720,4.877,5.989
720,4.74,6.284
720,4.61,6.585
720,4.488,6.892
720,4.371,7.204
720,4.261,7.521
720,4.156,7.845
720,4.057,8.173
720,3.962,8.508
720,3.872,8.848
720,3.786,9.193
720,3.704,9.544
720,3.625,9.9
720,3.55,10.26
720,3.477,10.63
720,3.408,11
720,3.342,11.38
720,3.278,11.76
720,3.216,12.15
720,3.157,12.54
720,3.1,12.94
720,3.045,13.34
720,2.992,13.75
720,2.94,14.17
720,2.891,14.59
720,2.843,15.01
720,2.797,15.44
720,2.752,15.87
720,2.708,16.31
720,2.666,16.76
720,2.625,17.21
720,2.585,17.66
720,2.547,18.12
720,2.509,18.58
720,2.473,19.05
720,2.437,19.53
720,2.403,20.01
720,2.37,20.49
720,2.337,20.98
720,2.305,21.47
720,2.274,21.97
720,2.244,22.47
900,21.63,0.05397
900,21.27,0.06688
900,20.86,0.08257
900,20.41,0.1015
900,19.89,0.1242
900,19.33,0.1511
900,18.73,0.1827
900,18.09,0.2197
900,17.42,0.2624
900,16.73,0.3112
900,16.03,0.3666
900,15.33,0.4288
900,14.64,0.4982
900,13.96,0.5747
900,13.3,0.6586
900,12.66,0.7499
900,12.05,0.8486
900,11.47,0.9545
900,10.92,1.068
900,10.4,1.188
900,9.91,1.314
900,9.45,1.448
900,9.018,1.588
900,8.615,1.734
900,8.238,1.887
900,7.886,2.045
900,7.558,2.209
900,7.251,2.379
900,6.965,2.554
900,6.699,2.735
900,6.449,2.921
900,6.217,3.112
900,5.999,3.308
900,5.795,3.509
900,5.604,3.714
900,5.425,3.925
900,5.257,4.14
900,5.099,4.36
900,4.95,4.585
900,4.81,4.814
900,4.677,5.048
900,4.552,5.286
900,4.433,5.529
900,4.321,5.776
900,4.214,6.028
900,4.113,6.285
900,4.016,6.545
900,3.925,6.81
900,3.837,7.08
900,3.753,7.354
900,3.673,7.632
900,3.597,7.914
900,3.523,8.201
900,3.453,8.492
900,3.385,8.787
900,3.32,9.087
900,3.258,9.391
900,3.198,9.699
900,3.14,10.01
900,3.084,10.33
900,3.031,10.65
900,2.979,10.97
900,2.928,11.3
900,2.88,11.64
900,2.833,11.97
900,2.787,12.31
900,2.743,12.66
900,2.701,13.01
900,2.659,13.36
900,2.619,13.72
900,2.58,14.08
900,2.542,14.45
900,2.506,14.81
900,2.47,15.19
900,2.435,15.56
900,2.401,15.95
900,2.368,16.33
900,2.336,16.72
900,2.305,17.11
900,2.274,17.51
900,2.245,17.91
1080,21.52,0.04838
1080,21.14,0.05988
1080,20.72,0.07383
1080,20.23,0.0906
1080,19.7,0.1106
1080,19.11,0.1343
1080,18.48,0.1621
1080,17.83,0.1944
1080,17.14,0.2315
1080,16.45,0.2739
1080,15.74,0.3217
1080,15.04,0.3752
1080,14.35,0.4346
1080,13.68,0.5
1080,13.03,0.5714
1080,12.4,0.6489
1080,11.8,0.7323
1080,11.23,0.8217
1080,10.7,0.9169
1080,10.19,1.018
1080,9.71,1.124
1080,9.263,1.236
1080,8.844,1.353
1080,8.453,1.475
1080,8.087,1.603
1080,7.746,1.735
1080,7.428,1.871
1080,7.131,2.012
1080,6.854,2.158
1080,6.595,2.308
1080,6.354,2.463
1080,6.128,2.621
1080,5.917,2.784
1080,5.719,2.951
1080,5.534,3.121
1080,5.36,3.296
1080,5.196,3.475
1080,5.043,3.657
1080,4.898,3.843
1080,4.761,4.034
1080,4.632,4.228
1080,4.51,4.425
1080,4.394,4.627
1080,4.284,4.832
1080,4.18,5.041
1080,4.081,5.253
1080,3.987,5.469
1080,3.897,5.689
1080,3.811,5.913
1080,3.729,6.14
1080,3.651,6.371
1080,3.576,6.605
1080,3.504,6.843
1080,3.435,7.085
1080,3.368,7.33
1080,3.305,7.578
1080,3.243,7.831
1080,3.184,8.086
1080,3.127,8.346
1080,3.072,8.608
1080,3.02,8.875
1080,2.968,9.144
1080,2.919,9.417
1080,2.871,9.694
1080,2.825,9.974
1080,2.78,10.26
1080,2.737,10.54
1080,2.695,10.83
1080,2.654,11.13
1080,2.614,11.43
1080,2.576,11.73
1080,2.538,12.03
1080,2.502,12.34
1080,2.467,12.65
1080,2.432,12.96
1080,2.399,13.28
1080,2.366,13.6
1080,2.335,13.92
1080,2.304,14.25
1080,2.274,14.58
1080,2.244,14.91
1260,21.44,0.04382
1260,21.04,0.0542
1260,20.59,0.06674
1260,20.09,0.08181
1260,19.54,0.09974
1260,18.94,0.1209
1260,18.3,0.1456
1260,17.62,0.1743
1260,16.93,0.2072
1260,16.23,0.2445
1260,15.52,0.2866
1260,14.83,0.3336
1260,14.14,0.3856
1260,13.47,0.4426
1260,12.83,0.5048
1260,12.21,0.5721
1260,11.62,0.6445
1260,11.06,0.7218
1260,10.53,0.8041
1260,10.03,0.8911
1260,9.565,0.9828
1260,9.127,1.079
1260,8.717,1.18
1260,8.334,1.285
1260,7.977,1.394
1260,7.644,1.507
1260,7.333,1.624
1260,7.043,1.745
