length_nm,ngm_id,nft
180,22.91,145200000
180,22.75,179700000
180,22.58,221500000
180,22.4,271900000
180,22.21,332400000
180,22,404300000
180,21.76,489200000
180,21.49,588600000
180,21.16,704000000
180,20.79,836700000
180,20.36,988000000
180,19.86,1159000000
180,19.32,1349000000
180,18.72,1559000000
180,18.07,1787000000
180,17.39,2033000000
180,16.68,2292000000
180,15.95,2562000000
180,15.21,2839000000
180,14.48,3120000000
180,13.75,3399000000
180,13.03,3674000000
180,12.34,3940000000
180,11.67,4193000000
180,11.03,4432000000
180,10.42,4653000000
180,9.831,4854000000
180,9.277,5036000000
180,8.753,5195000000
180,8.259,5334000000
180,7.793,5451000000
180,7.357,5547000000
180,6.947,5624000000
180,6.565,5683000000
180,6.208,5725000000
180,5.876,5753000000
180,5.567,5769000000
180,5.28,5774000000
180,5.015,5770000000
180,4.768,5758000000
180,4.54,5740000000
180,4.329,5717000000
180,4.133,5691000000
180,3.951,5661000000
180,3.782,5628000000
180,3.625,5593000000
180,3.479,5557000000
180,3.342,5520000000
180,3.215,5482000000
180,3.096,5444000000
180,2.984,5405000000
180,2.879,5365000000
180,2.781,5326000000
180,2.689,5286000000
180,2.601,5247000000
180,2.519,5208000000
180,2.441,5169000000
180,2.368,5130000000
180,2.298,5091000000
180,2.232,5053000000
180,2.169,5015000000
180,2.109,4977000000
180,2.052,4940000000
180,1.998,4903000000
180,1.946,4866000000
180,1.896,4830000000
180,1.849,4794000000
180,1.803,4758000000
180,1.76,4723000000
180,1.718,4688000000
180,1.678,4653000000
180,1.639,4619000000
180,1.602,4585000000
180,1.567,4551000000
180,1.532,4518000000
180,1.499,4485000000
180,1.467,4452000000
180,1.436,4419000000
180,1.406,4387000000
180,1.378,4355000000
180,1.35,4323000000
360,22.54,97640000
360,22.32,117500000
360,22.08,140500000
360,21.8,167000000
360,21.47,197300000
360,21.08,231800000
360,20.64,270800000
360,20.14,314700000
360,19.58,363500000
360,18.98,417500000
360,18.32,476500000
360,17.64,540200000
360,16.93,608000000
360,16.2,679300000
360,15.47,753300000
360,14.74,828900000
360,14.02,905300000
360,13.32,981300000
360,12.64,1056000000
360,11.98,1129000000
360,11.34,1198000000
360,10.74,1264000000
360,10.16,1325000000
360,9.603,1380000000
360,9.078,1431000000
360,8.581,1475000000
360,8.109,1514000000
360,7.663,1546000000
360,7.244,1573000000
360,6.849,1593000000
360,6.48,1609000000
360,6.134,1621000000
360,5.813,1628000000
360,5.514,1632000000
360,5.236,1633000000
360,4.979,1631000000
360,4.74,1628000000
360,4.519,1623000000
360,4.315,1617000000
360,4.125,1609000000
360,3.949,1601000000
360,3.785,1592000000
360,3.633,1582000000
360,3.491,1572000000
360,3.358,1562000000
360,3.235,1552000000
360,3.119,1542000000
360,3.01,1531000000
360,2.909,1521000000
360,2.813,1510000000
360,2.722,1500000000
360,2.637,1489000000
360,2.557,1479000000
360,2.481,1469000000
360,2.409,1459000000
360,2.341,1449000000
360,2.276,1439000000
360,2.214,1429000000
360,2.155,1420000000
360,2.099,1410000000
360,2.046,1401000000
360,1.995,1392000000
360,1.946,1383000000
360,1.899,1374000000
360,1.854,1366000000
360,1.811,1357000000
360,1.77,1348000000
360,1.731,1340000000
360,1.693,1332000000
360,1.656,1324000000
360,1.621,1316000000
