length_nm,ngm_id,nft
720,12.4,328900000
720,11.81,352300000
720,11.24,375400000
720,10.7,398200000
720,10.19,420400000
720,9.712,442200000
720,9.264,463400000
720,8.843,484000000
720,8.45,504000000
720,8.083,523500000
720,7.741,542400000
720,7.421,560900000
720,7.122,578800000
720,6.844,596400000
720,6.584,613500000
720,6.341,630300000
720,6.114,646800000
720,5.902,663000000
720,5.703,679000000
720,5.517,694700000
720,5.342,710200000
720,5.178,725600000
720,5.023,740700000
720,4.877,755800000
720,4.74,770700000
720,4.61,785500000
720,4.488,800200000
720,4.371,814800000
720,4.261,829300000
720,4.156,843800000
720,4.057,858100000
720,3.962,872400000
720,3.872,886600000
720,3.786,900800000
720,3.704,914800000
720,3.625,928800000
720,3.55,942800000
720,3.477,956700000
720,3.408,970500000
720,3.342,984200000
720,3.278,997900000
720,3.216,1012000000
720,3.157,1025000000
720,3.1,1039000000
720,3.045,1052000000
720,2.992,1065000000
720,2.94,1079000000
720,2.891,1092000000
720,2.843,1105000000
720,2.797,1118000000
720,2.752,1131000000
720,2.708,1144000000
720,2.666,1157000000
720,2.625,1170000000
720,2.585,1183000000
720,2.547,1195000000
720,2.509,1208000000
720,2.473,1220000000
720,2.437,1233000000
720,2.403,1245000000
720,2.37,1258000000
720,2.337,1270000000
720,2.305,1282000000
720,2.274,1294000000
720,2.244,1306000000
900,21.63,37300000
900,21.27,43170000
900,20.86,49740000
900,20.41,57070000
900,19.89,65260000
900,19.33,74350000
900,18.73,84390000
900,18.09,95380000
900,17.42,107300000
900,16.73,120000000
900,16.03,133600000
900,15.33,147700000
900,14.64,162300000
900,13.96,177300000
900,13.3,192500000
900,12.66,207800000
900,12.05,223100000
900,11.47,238200000
900,10.92,253100000
900,10.4,267800000
900,9.91,282100000
900,9.45,296100000
900,9.018,309700000
900,8.615,322900000
900,8.238,335800000
900,7.886,348300000
900,7.558,360500000
900,7.251,372500000
900,6.965,384100000
900,6.699,395500000
900,6.449,406600000
900,6.217,417600000
900,5.999,428300000
900,5.795,438900000
900,5.604,449300000
900,5.425,459700000
900,5.257,469900000
900,5.099,480000000
900,4.95,490000000
900,4.81,499900000
900,4.677,509700000
900,4.552,519500000
900,4.433,529300000
900,4.321,539000000
900,4.214,548600000
900,4.113,558200000
900,4.016,567700000
900,3.925,577200000
900,3.837,586700000
900,3.753,596100000
900,3.673,605500000
900,3.597,614800000
900,3.523,624100000
900,3.453,633400000
900,3.385,642600000
900,3.32,651800000
900,3.258,661000000
900,3.198,670100000
900,3.14,679200000
900,3.084,688300000
900,3.031,697300000
900,2.979,706200000
900,2.928,715200000
900,2.88,724100000
900,2.833,732900000
900,2.787,741700000
900,2.743,750500000
900,2.701,759200000
900,2.659,767900000
900,2.619,776600000
900,2.58,785200000
900,2.542,793800000
900,2.506,802300000
900,2.47,810800000
900,2.435,819200000
900,2.401,827600000
900,2.368,836000000
900,2.336,844300000
900,2.305,852600000
900,2.274,860800000
900,2.245,869000000
1080,21.52,28290000
1080,21.14,32600000
1080,20.72,37420000
1080,20.23,42810000
1080,19.7,48820000
1080,19.11,55490000
1080,18.48,62820000
1080,17.83,70820000
1080,17.14,79450000
1080,16.45,88650000
1080,15.74,98340000
1080,15.04,108400000
1080,14.35,118900000
1080,13.68,129500000
1080,13.03,140200000
1080,12.4,150900000
1080,11.8,161600000
1080,11.23,172200000
1080,10.7,182600000
1080,10.19,192900000
1080,9.71,202800000
1080,9.263,212600000
1080,8.844,222100000
1080,8.453,231300000
1080,8.087,240300000
1080,7.746,249000000
1080,7.428,257600000
1080,7.131,265900000
1080,6.854,274100000
1080,6.595,282100000
1080,6.354,289900000
1080,6.128,297600000
1080,5.917,305200000
1080,5.719,312700000
1080,5.534,320000000
1080,5.36,327300000
1080,5.196,334600000
1080,5.043,341700000
1080,4.898,348800000
1080,4.761,355900000
1080,4.632,362900000
1080,4.51,369900000
1080,4.394,376800000
1080,4.284,383700000
1080,4.18,390600000
1080,4.081,397400000
1080,3.987,404200000
1080,3.897,411000000
1080,3.811,417800000
1080,3.729,424500000
1080,3.651,431200000
1080,3.576,437900000
1080,3.504,444600000
1080,3.435,451200000
1080,3.368,457800000
1080,3.305,464400000
1080,3.243,471000000
1080,3.184,477500000
1080,3.127,484000000
1080,3.072,490500000
1080,3.02,497000000
1080,2.968,503500000
1080,2.919,509900000
1080,2.871,516300000
1080,2.825,522700000
1080,2.78,529000000
1080,2.737,535300000
1080,2.695,541600000
1080,2.654,547900000
1080,2.614,554100000
1080,2.576,560300000
1080,2.538,566500000
1080,2.502,572700000
1080,2.467,578800000
1080,2.432,584900000
1080,2.399,591000000
1080,2.366,597100000
1080,2.335,603100000
1080,2.304,609100000
1080,2.274,615100000
1080,2.244,621000000
1260,21.44,22160000
1260,21.04,25470000
1260,20.59,29170000
1260,20.09,33300000
1260,19.54,37900000
1260,18.94,43000000
1260,18.3,48600000
1260,17.62,54680000
1260,16.93,61220000
1260,16.23,68170000
1260,15.52,75470000
1260,14.83,83040000
1260,14.14,90820000
1260,13.47,98730000
1260,12.83,106700000
1260,12.21,114700000
1260,11.62,122600000
1260,11.06,130400000
1260,10.53,138100000
1260,10.03,145600000
1260,9.565,153000000
1260,9.127,160200000
1260,8.717,167200000
1260,8.334,174000000
1260,7.977,180600000
1260,7.644,187100000
1260,7.333,193400000
1260,7.043,199600000
1260,6.773,205600000
1260,6.52,211500000
1260,6.284,217300000
1260,6.063,223100000
1260,5.857,228700000
1260,5.664,234300000
1260,5.482,239800000
1260,5.312,245200000
1260,5.152,250600000
1260,5.001,256000000
1260,4.859,261300000
1260,4.725,266600000
1260,4.599,271800000
1260,4.479,277000000
1260,4.365,282200000
1260,4.257,287400000
1260,4.155,292500000
1260,4.058,297700000
1260,3.965,302800000
1260,3.876,307900000
1260,3.792,312900000
1260,3.711,318000000
1260,3.634,323000000
1260,3.56,328100000
1260,3.489,333100000
1260,3.421,338100000
1260,3.356,343000000
1260,3.293,348000000
1260,3.232,353000000
1260,3.174,357900000
1260,3.118,362800000
1260,3.064,367700000
1260,3.011,372600000
1260,2.961,377400000
1260,2.912,382300000
1260,2.865,387100000
1260,2.819,391900000
1260,2.774,396700000
1260,2.732,401500000
1260,2.69,406200000
1260,2.65,411000000
1260,2.61,415700000
1260,2.572,420400000
1260,2.535,425100000
1260,2.499,429700000
1260,2.464,434400000
1260,2.43,439000000
1260,2.397,443600000
1260,2.365,448200000
1260,2.334,452800000
1260,2.303,457400000
1260,2.273,461900000
1260,2.244,466400000
