length_nm,ngm_id,nidw
180,22.91,0.07483
180,22.75,0.09402
180,22.58,0.1179
180,22.4,0.1477
180,22.21,0.1846
180,22,0.2303
180,21.76,0.2866
180,21.49,0.3558
180,21.16,0.4404
180,20.79,0.5433
180,20.36,0.6674
180,19.86,0.8161
180,19.32,0.9927
180,18.72,1.201
180,18.07,1.443
180,17.39,1.723
180,16.68,2.043
180,15.95,2.405
180,15.21,2.811
180,14.48,3.261
180,13.75,3.755
180,13.03,4.293
180,12.34,4.873
180,11.67,5.495
180,11.03,6.155
180,10.42,6.852
180,9.831,7.582
180,9.277,8.342
180,8.753,9.128
180,8.259,9.938
180,7.793,10.77
180,7.357,11.62
180,6.947,12.48
180,6.565,13.35
180,6.208,14.23
180,5.876,15.11
180,5.567,16
180,5.28,16.9
180,5.015,17.79
180,4.768,18.68
180,4.54,19.57
180,4.329,20.46
180,4.133,21.34
180,3.951,22.22
180,3.782,23.1
180,3.625,23.97
180,3.479,24.83
180,3.342,25.69
180,3.215,26.55
180,3.096,27.4
180,2.984,28.25
180,2.879,29.09
180,2.781,29.92
180,2.689,30.75
180,2.601,31.58
180,2.519,32.39
180,2.441,33.21
180,2.368,34.02
180,2.298,34.82
180,2.232,35.62
180,2.169,36.41
180,2.109,37.2
180,2.052,37.98
180,1.998,38.75
180,1.946,39.53
180,1.896,40.29
180,1.849,41.05
180,1.803,41.81
180,1.76,42.56
180,1.718,43.31
180,1.678,44.05
180,1.639,44.79
180,1.602,45.52
180,1.567,46.25
180,1.532,46.97
180,1.499,47.68
180,1.467,48.4
180,1.436,49.11
180,1.406,49.81
180,1.378,50.51
180,1.35,51.2
360,22.54,0.06945
360,22.32,0.08691
360,22.08,0.1085
360,21.8,0.1352
360,21.47,0.1678
360,21.08,0.2076
360,20.64,0.2558
360,20.14,0.3136
360,19.58,0.3825
360,18.98,0.4639
360,18.32,0.559
360,17.64,0.6692
360,16.93,0.7954
360,16.2,0.9388
360,15.47,1.1
360,14.74,1.279
360,14.02,1.477
360,13.32,1.693
360,12.64,1.928
360,11.98,2.181
360,11.34,2.45
360,10.74,2.736
360,10.16,3.037
360,9.603,3.353
360,9.078,3.681
360,8.581,4.02
360,8.109,4.37
360,7.663,4.729
360,7.244,5.095
360,6.849,5.466
360,6.48,5.843
360,6.134,6.223
360,5.813,6.606
360,5.514,6.991
360,5.236,7.377
360,4.979,7.763
360,4.74,8.15
360,4.519,8.536
360,4.315,8.921
360,4.125,9.306
360,3.949,9.689
360,3.785,10.07
360,3.633,10.45
360,3.491,10.83
360,3.358,11.21
360,3.235,11.58
360,3.119,11.96
360,3.01,12.33
360,2.909,12.7
360,2.813,13.07
360,2.722,13.43
360,2.637,13.8
360,2.557,14.16
360,2.481,14.52
360,2.409,14.88
360,2.341,15.24
360,2.276,15.6
360,2.214,15.95
360,2.155,16.3
360,2.099,16.65
360,2.046,17
360,1.995,17.35
360,1.946,17.69
360,1.899,18.04
360,1.854,18.38
360,1.811,18.72
360,1.77,19.06
360,1.731,19.39
360,1.693,19.73
360,1.656,20.06
360,1.621,20.39
360,1.587,20.72
360,1.554,21.05
360,1.523,21.38
360,1.492,21.7
360,1.463,22.02
360,1.434,22.35
360,1.407,22.66
360,1.38,22.98
360,1.354,23.3
360,1.329,23.61
540,22.36,0.0558
540,22.1,0.06969
540,21.81,0.08681
540,21.46,0.1078
540,21.06,0.1333
540,20.6,0.1642
540,20.09,0.2013
540,19.52,0.2454
540,18.9,0.2973
540,18.23,0.358
540,17.54,0.4281
540,16.83,0.5084
540,16.1,0.5994
540,15.37,0.7016
540,14.65,0.8152
540,13.94,0.9404
540,13.24,1.077
540,12.57,1.226
540,11.92,1.385
540,11.3,1.556
540,10.7,1.737
540,10.13,1.927
540,9.586,2.127
540,9.07,2.335
540,8.58,2.55
540,8.115,2.772
540,7.674,2.999
540,7.259,3.232
540,6.868,3.468
540,6.501,3.708
540,6.157,3.95
540,5.837,4.194
540,5.539,4.44
540,5.262,4.686
540,5.005,4.933
540,4.767,5.18
540,4.546,5.426
540,4.341,5.673
540,4.151,5.919
540,3.975,6.164
540,3.811,6.409
540,3.659,6.653
540,3.517,6.896
540,3.384,7.138
540,3.26,7.379
540,3.144,7.619
540,3.035,7.858
540,2.933,8.096
540,2.837,8.333
540,2.747,8.569
540,2.662,8.804
540,2.581,9.037
540,2.505,9.27
540,2.433,9.502
540,2.364,9.732
540,2.299,9.962
540,2.237,10.19
540,2.178,10.42
540,2.122,10.64
540,2.068,10.87
540,2.017,11.09
540,1.968,11.32
540,1.921,11.54
540,1.877,11.76
540,1.834,11.98
540,1.792,12.2
540,1.753,12.42
540,1.714,12.64
540,1.678,12.85
540,1.642,13.07
540,1.608,13.28
540,1.576,13.49
540,1.544,13.71
540,1.513,13.92
540,1.484,14.13
540,1.455,14.34
540,1.428,14.54
540,1.401,14.75
540,1.375,14.96
540,1.35,15.16
540,1.326,15.37
720,22.17,0.0488
720,21.88,0.06083
720,21.54,0.07558
720,21.14,0.09357
720,20.69,0.1153
720,20.18,0.1415
720,19.61,0.1727
720,19,0.2094
720,18.34,0.2525
720,17.65,0.3022
720,16.94,0.3593
720,16.22,0.4241
720,15.49,0.497
720,14.77,0.5782
720,14.06,0.6678
720,13.36,0.766
720,12.69,0.8725
720,12.04,0.9873
720,11.42,1.11
720,10.82,1.241
720,10.25,1.378
720,9.704,1.523
720,9.186,1.674
720,8.694,1.83
720,8.227,1.992
720,7.784,2.158
720,7.365,2.328
720,6.97,2.501
720,6.599,2.676
720,6.251,2.854
720,5.926,3.033
720,5.623,3.213
720,5.341,3.394
720,5.08,3.575
720,4.837,3.757
720,4.612,3.939
720,4.404,4.12
720,4.21,4.301
720,4.03,4.482
720,3.864,4.663
720,3.708,4.843
720,3.564,5.022
720,3.429,5.201
720,3.303,5.379
720,3.185,5.556
720,3.074,5.732
720,2.97,5.908
720,2.873,6.083
720,2.781,6.258
720,2.694,6.431
720,2.612,6.604
720,2.535,6.776
720,2.461,6.948
720,2.392,7.118
720,2.326,7.288
720,2.263,7.457
720,2.203,7.626
720,2.147,7.793
720,2.092,7.96
720,2.04,8.127
720,1.991,8.292
720,1.943,8.457
720,1.898,8.621
720,1.854,8.784
720,1.813,8.946
720,1.773,9.108
720,1.734,9.269
720,1.697,9.43
720,1.661,9.589
720,1.627,9.748
720,1.594,9.907
720,1.562,10.06
720,1.531,10.22
720,1.501,10.38
720,1.472,10.53
720,1.444,10.69
720,1.417,10.84
720,1.391,10.99
720,1.366,11.15
720,1.342,11.3
720,1.318,11.45
900,22,0.04398
900,21.68,0.05472
900,21.3,0.06785
900,20.87,0.08378
900,20.38,0.103
900,19.83,0.1259
900,19.24,0.1531
900,18.59,0.185
900,17.91,0.222
900,17.21,0.2646
900,16.49,0.3132
900,15.77,0.368
900,15.04,0.4293
900,14.33,0.4972
900,13.63,0.5718
900,12.95,0.653
900,12.29,0.7408
900,11.66,0.8351
900,11.05,0.9355
900,10.48,1.042
900,9.924,1.154
900,9.399,1.271
900,8.898,1.392
900,8.423,1.518
900,7.972,1.648
900,7.545,1.781
900,7.141,1.916
900,6.761,2.054
900,6.404,2.194
900,6.07,2.335
900,5.758,2.477
900,5.468,2.62
900,5.198,2.764
900,4.947,2.908
900,4.715,3.052
900,4.5,3.195
900,4.3,3.339
900,4.114,3.483
900,3.942,3.626
900,3.782,3.768
900,3.632,3.911
900,3.493,4.052
900,3.363,4.194
900,3.242,4.335
