length_nm,ngm_id,nidw
180,23.94,0.4101
180,23.62,0.5202
180,23.28,0.6577
180,22.92,0.8287
180,22.55,1.04
180,22.15,1.301
180,21.72,1.62
180,21.27,2.008
180,20.79,2.478
180,20.27,3.043
180,19.71,3.717
180,19.12,4.513
180,18.49,5.447
180,17.83,6.532
180,17.15,7.781
180,16.44,9.204
180,15.72,10.81
180,14.99,12.6
180,14.27,14.59
180,13.55,16.77
180,12.85,19.13
180,12.17,21.68
180,11.52,24.41
180,10.89,27.3
180,10.29,30.35
180,9.726,33.54
180,9.193,36.87
180,8.694,40.32
180,8.227,43.88
180,7.791,47.53
180,7.385,51.28
180,7.008,55.1
180,6.658,59.0
180,6.333,62.96
180,6.031,66.97
180,5.751,71.03
180,5.492,75.14
180,5.251,79.28
180,5.027,83.46
180,4.819,87.68
180,4.625,91.91
180,4.445,96.18
180,4.276,100.5
180,4.119,104.8
180,3.972,109.1
180,3.834,113.4
180,3.704,117.8
180,3.583,122.2
180,3.468,126.5
180,3.36,130.9
180,3.259,135.3
180,3.162,139.8
180,3.071,144.2
180,2.985,148.6
180,2.903,153.1
180,2.826,157.5
180,2.752,162.0
180,2.681,166.4
180,2.614,170.9
180,2.55,175.3
180,2.489,179.8
180,2.43,184.3
180,2.374,188.8
180,2.321,193.3
180,2.269,197.7
180,2.22,202.2
180,2.172,206.7
180,2.126,211.2
180,2.082,215.7
180,2.04,220.2
180,1.999,224.7
180,1.96,229.2
180,1.922,233.7
180,1.886,238.2
180,1.85,242.7
180,1.816,247.1
180,1.783,251.6
180,1.751,256.1
180,1.72,260.6
180,1.69,265.1
180,1.661,269.6
360,24.07,0.1494
360,23.83,0.1898
360,23.58,0.2406
360,23.31,0.3042
360,23.03,0.3835
360,22.71,0.482
360,22.36,0.6039
360,21.96,0.7537
360,21.51,0.9368
360,21.0,1.159
360,20.44,1.426
360,19.83,1.744
360,19.16,2.119
360,18.46,2.558
360,17.73,3.065
360,16.98,3.646
360,16.22,4.304
360,15.46,5.043
360,14.71,5.864
360,13.98,6.768
360,13.27,7.755
360,12.59,8.825
360,11.94,9.977
360,11.32,11.21
360,10.74,12.51
360,10.2,13.9
360,9.687,15.35
360,9.209,16.87
360,8.763,18.45
360,8.347,20.1
360,7.96,21.81
360,7.6,23.57
360,7.265,25.39
360,6.953,27.26
360,6.663,29.18
360,6.393,31.15
360,6.141,33.16
360,5.906,35.22
360,5.687,37.32
360,5.481,39.47
360,5.289,41.65
