length_nm,ngm_id,ngmro
180,24.66,20.78
180,24.44,20.67
180,24.23,20.57
180,24.01,20.48
180,23.78,20.4
180,23.55,20.31
180,23.3,20.22
180,23.03,20.12
180,22.72,19.99
180,22.37,19.83
180,21.98,19.61
180,21.52,19.33
180,21.0,18.97
180,20.42,18.52
180,19.78,17.99
180,19.07,17.35
180,18.33,16.64
180,17.54,15.85
180,16.73,15.0
180,15.9,14.11
180,15.08,13.2
180,14.26,12.29
180,13.46,11.38
180,12.69,10.5
180,11.95,9.66
180,11.24,8.864
180,10.57,8.118
180,9.943,7.426
180,9.354,6.788
180,8.805,6.205
180,8.293,5.673
180,7.818,5.191
180,7.378,4.754
180,6.97,4.36
180,6.593,4.005
180,6.244,3.684
180,5.921,3.395
180,5.623,3.135
180,5.346,2.9
180,5.09,2.688
180,4.852,2.497
180,4.631,2.323
180,4.426,2.166
180,4.235,2.024
180,4.057,1.894
180,3.891,1.776
180,3.735,1.668
180,3.589,1.569
180,3.453,1.479
180,3.325,1.396
180,3.204,1.32
180,3.09,1.25
180,2.983,1.185
180,2.881,1.125
180,2.785,1.07
180,2.694,1.018
180,2.608,0.9705
180,2.526,0.926
180,2.448,0.8845
180,2.374,0.8458
180,2.303,0.8096
180,2.235,0.7757
180,2.171,0.7439
180,2.109,0.7141
180,2.05,0.686
180,1.993,0.6596
180,1.939,0.6346
180,1.887,0.6111
180,1.837,0.5889
180,1.788,0.5678
180,1.742,0.5479
180,1.697,0.529
180,1.654,0.511
180,1.613,0.494
180,1.573,0.4777
180,1.534,0.4623
180,1.497,0.4476
180,1.461,0.4335
180,1.426,0.4201
180,1.392,0.4073
180,1.359,0.395
360,24.51,48.55
360,24.31,48.2
360,24.11,47.83
360,23.9,47.41
360,23.67,46.92
360,23.42,46.34
360,23.12,45.65
360,22.78,44.8
360,22.38,43.79
360,21.92,42.58
360,21.39,41.17
360,20.79,39.56
360,20.14,37.75
360,19.42,35.78
360,18.67,33.66
360,17.88,31.45
360,17.07,29.18
360,16.26,26.89
360,15.44,24.62
360,14.64,22.42
360,13.86,20.3
360,13.1,18.3
360,12.38,16.44
360,11.69,14.71
360,11.03,13.13
360,10.41,11.7
360,9.826,10.41
360,9.278,9.253
360,8.765,8.226
360,8.285,7.316
360,7.837,6.513
360,7.419,5.807
360,7.029,5.188
360,6.665,4.645
360,6.326,4.17
360,6.011,3.755
360,5.717,3.392
360,5.443,3.075
360,5.188,2.797
360,4.95,2.553
360,4.728,2.339
360,4.521,2.15
360,4.328,1.983
360,4.148,1.836
360,3.979,1.705
360,3.821,1.588
360,3.673,1.483
360,3.535,1.39
360,3.404,1.306
360,3.282,1.229
360,3.167,1.161
360,3.058,1.098
360,2.956,1.041
360,2.859,0.9885
360,2.767,0.9406
360,2.681,0.8965
360,2.598,0.8559
360,2.52,0.8183
360,2.446,0.7835
360,2.375,0.7511
360,2.307,0.7209
360,2.243,0.6927
360,2.181,0.6664
360,2.122,0.6417
360,2.066,0.6185
360,2.012,0.5967
360,1.96,0.5761
360,1.91,0.5567
360,1.863,0.5383
360,1.817,0.5209
360,1.772,0.5044
360,1.73,0.4887
360,1.688,0.4738
360,1.649,0.4596
360,1.611,0.4461
360,1.574,0.4332
360,1.538,0.4209
360,1.503,0.4091
360,1.47,0.3978
360,1.437,0.3869
360,1.406,0.3766
540,24.18,65.64
540,23.98,65.08
540,23.75,64.43
540,23.5,63.65
540,23.21,62.7
540,22.88,61.54
540,22.48,60.15
540,22.02,58.48
540,21.49,56.53
540,20.9,54.3
540,20.24,51.79
540,19.54,49.04
540,18.79,46.09
540,18.01,42.99
540,17.21,39.8
540,16.4,36.58
540,15.6,33.38
540,14.81,30.26
540,14.04,27.26
540,13.29,24.42
540,12.58,21.77
540,11.89,19.32
540,11.24,17.08
540,10.63,15.06
540,10.05,13.24
540,9.503,11.63
540,8.99,10.2
540,8.509,8.949
540,8.057,7.854
540,7.635,6.903
540,7.239,6.079
540,6.868,5.368
540,6.522,4.755
540,6.198,4.228
540,5.895,3.774
540,5.613,3.384
540,5.349,3.047
540,5.103,2.757
540,4.873,2.506
540,4.659,2.287
540,4.459,2.097
540,4.272,1.931
540,4.098,1.785
540,3.934,1.656
540,3.782,1.542
540,3.639,1.441
540,3.505,1.35
540,3.379,1.269
540,3.26,1.195
540,3.149,1.129
540,3.043,1.069
540,2.944,1.014
540,2.85,0.9645
540,2.761,0.9187
540,2.677,0.8766
540,2.597,0.8377
540,2.521,0.8018
540,2.449,0.7685
540,2.38,0.7375
540,2.314,0.7086
540,2.251,0.6817
540,2.191,0.6564
540,2.134,0.6327
540,2.079,0.6105
540,2.026,0.5895
540,1.975,0.5697
540,1.927,0.5511
540,1.88,0.5334
540,1.835,0.5166
540,1.792,0.5007
540,1.75,0.4856
540,1.709,0.4712
540,1.67,0.4575
540,1.633,0.4444
540,1.596,0.432
540,1.561,0.42
540,1.527,0.4086
540,1.494,0.3976
540,1.462,0.3872
540,1.431,0.3771
540,1.401,0.3674
720,23.87,78.98
720,23.64,78.17
720,23.37,77.18
720,23.05,75.96
720,22.68,74.45
720,22.25,72.62
720,21.75,70.44
720,21.19,67.89
720,20.56,64.98
720,19.88,61.73
720,19.15,58.2
720,18.38,54.43
720,17.59,50.5
720,16.8,46.49
720,16.0,42.46
720,15.21,38.5
720,14.43,34.66
720,13.68,30.99
720,12.96,27.55
720,12.27,24.36
720,11.61,21.43
720,10.99,18.78
720,10.4,16.4
720,9.841,14.29
720,9.316,12.43
720,8.823,10.8
720,8.36,9.382
720,7.924,8.16
720,7.515,7.11
720,7.132,6.211
720,6.772,5.445
720,6.435,4.792
720,6.119,4.237
720,5.824,3.765
720,5.548,3.362
720,5.29,3.019
720,5.05,2.724
720,4.825,2.472
720,4.615,2.253
720,4.42,2.064
720,4.237,1.9
720,4.066,1.756
720,3.907,1.629
720,3.757,1.517
720,3.617,1.417
720,3.486,1.329
720,3.363,1.249
720,3.247,1.178
720,3.137,1.113
720,3.034,1.055
720,2.937,1.001
720,2.845,0.9528
720,2.758,0.9081
720,2.675,0.867
720,2.597,0.8291
720,2.522,0.794
720,2.451,0.7615
720,2.383,0.7312
720,2.318,0.703
720,2.257,0.6766
720,2.197,0.6519
720,2.141,0.6287
720,2.087,0.607
720,2.035,0.5864
720,1.985,0.5671
720,1.937,0.5488
720,1.89,0.5314
720,1.846,0.515
720,1.803,0.4994
720,1.762,0.4846
720,1.722,0.4704
720,1.683,0.457
720,1.646,0.4441
720,1.61,0.4318
720,1.575,0.4201
720,1.541,0.4089
720,1.509,0.3981
720,1.477,0.3878
720,1.446,0.3778
720,1.416,0.3683
720,1.388,0.3591
900,23.61,91.14
900,23.33,90.0
900,23.01,88.58
900,22.63,86.81
900,22.19,84.64
900,21.68,82.04
900,21.1,79.0
900,20.47,75.52
900,19.78,71.64
900,19.04,67.41
900,18.28,62.9
900,17.49,58.2
900,16.7,53.41
900,15.9,48.61
900,15.12,43.9
900,14.35,39.35
900,13.61,35.02
900,12.9,30.96
900,12.22,27.22
900,11.57,23.8
900,10.95,20.72
900,10.37,17.97
900,9.823,15.54
900,9.306,13.42
900,8.819,11.57
900,8.36,9.982
900,7.929,8.62
900,7.523,7.46
900,7.142,6.476
900,6.784,5.643
900,6.448,4.941
900,6.133,4.348
900,5.838,3.847
900,5.562,3.424
900,5.305,3.065
900,5.064,2.759
900,4.839,2.498
900,4.63,2.273
900,4.434,2.08
900,4.252,1.912
900,4.081,1.765
900,3.921,1.637
900,3.772,1.523
900,3.632,1.423
900,3.501,1.333
900,3.378,1.253
900,3.262,1.182
900,3.153,1.117
900,3.05,1.058
900,2.953,1.004
900,2.861,0.9555
900,2.774,0.9107
900,2.691,0.8695
900,2.613,0.8316
900,2.538,0.7965
900,2.467,0.7639
900,2.399,0.7336
900,2.335,0.7054
900,2.273,0.679
900,2.214,0.6544
900,2.157,0.6312
900,2.103,0.6094
900,2.051,0.5889
900,2.001,0.5696
900,1.953,0.5513
900,1.907,0.534
900,1.863,0.5175
900,1.82,0.5019
900,1.778,0.4871
900,1.738,0.473
900,1.7,0.4596
900,1.663,0.4467
900,1.627,0.4345
900,1.592,0.4227
900,1.558,0.4115
900,1.525,0.4008
900,1.494,0.3904
900,1.463,0.3805
900,1.433,0.371
900,1.404,0.3618
900,1.376,0.353
1080,23.38,102.5
1080,23.07,101.0
1080,22.7,99.07
1080,22.26,96.69
1080,21.76,93.81
1080,21.2,90.4
1080,20.57,86.48
1080,19.89,82.07
1080,19.16,77.24
1080,18.4,72.07
1080,17.62,66.66
1080,16.83,61.12
1080,16.04,55.57
1080,15.26,50.1
1080,14.49,44.81
1080,13.75,39.78
1080,13.04,35.06
1080,12.35,30.71
1080,11.7,26.75
1080,11.08,23.18
1080,10.5,20.01
1080,9.948,17.22
1080,9.427,14.78
1080,8.937,12.67
1080,8.474,10.87
1080,8.039,9.327
1080,7.629,8.023
1080,7.244,6.924
1080,6.881,6.0
1080,6.541,5.225
1080,6.221,4.576
1080,5.921,4.031
1080,5.641,3.572
1080,5.379,3.186
1080,5.134,2.859
1080,4.905,2.581
1080,4.692,2.343
1080,4.493,2.138
1080,4.307,1.962
1080,4.134,1.808
1080,3.972,1.674
1080,3.82,1.556
1080,3.678,1.451
1080,3.545,1.359
1080,3.419,1.276
1080,3.302,1.202
1080,3.191,1.135
1080,3.087,1.075
1080,2.988,1.02
1080,2.895,0.9696
1080,2.807,0.9237
1080,2.723,0.8816
1080,2.644,0.8428
1080,2.568,0.807
1080,2.496,0.7738
1080,2.428,0.743
1080,2.363,0.7142
1080,2.3,0.6874
1080,2.24,0.6623
1080,2.183,0.6388
1080,2.129,0.6166
1080,2.076,0.5958
1080,2.026,0.5762
1080,1.977,0.5577
1080,1.93,0.5401
1080,1.886,0.5235
1080,1.842,0.5077
1080,1.801,0.4927
1080,1.76,0.4784
1080,1.721,0.4648
1080,1.684,0.4518
1080,1.647,0.4394
1080,1.612,0.4276
1080,1.578,0.4162
1080,1.545,0.4054
1080,1.513,0.3949
1080,1.482,0.3849
1080,1.452,0.3753
1080,1.423,0.3661
1080,1.395,0.3572
1080,1.367,0.3486
1260,23.19,113.2
1260,22.84,111.3
1260,22.43,108.8
1260,21.96,105.8
1260,21.41,102.2
1260,20.81,97.94
1260,20.15,93.15
1260,19.44,87.84
1260,18.69,82.11
1260,17.91,76.06
1260,17.13,69.82
1260,16.34,63.53
1260,15.55,57.29
1260,14.78,51.24
1260,14.03,45.46
1260,13.31,40.03
1260,12.62,35.01
1260,11.96,30.43
1260,11.33,26.3
1260,10.74,22.63
1260,10.18,19.4
1260,9.645,16.58
1260,9.145,14.15
1260,8.673,12.08
1260,8.228,10.31
1260,7.809,8.822
1260,7.415,7.57
1260,7.043,6.524
1260,6.694,5.65
1260,6.366,4.921
1260,6.058,4.312
1260,5.769,3.804
1260,5.499,3.377
1260,5.247,3.018
1260,5.011,2.714
1260,4.791,2.455
1260,4.586,2.234
1260,4.395,2.043
1260,4.216,1.879
