length_nm,ngm_id,nft
180,24.66,272000000
180,24.44,342900000
180,24.23,430500000
180,24.01,538200000
180,23.78,669800000
180,23.55,829300000
180,23.3,1021000000
180,23.03,1250000000
180,22.72,1521000000
180,22.37,1838000000
180,21.98,2205000000
180,21.52,2627000000
180,21.0,3107000000
180,20.42,3646000000
180,19.78,4244000000
180,19.07,4899000000
180,18.33,5603000000
180,17.54,6350000000
180,16.73,7126000000
180,15.9,7921000000
180,15.08,8720000000
180,14.26,9509000000
180,13.46,10280000000
180,12.69,11010000000
180,11.95,11700000000
180,11.24,12340000000
180,10.57,12930000000
180,9.943,13460000000
180,9.354,13930000000
180,8.805,14340000000
180,8.293,14710000000
180,7.818,15020000000
180,7.378,15280000000
180,6.97,15500000000
180,6.593,15690000000
180,6.244,15830000000
180,5.921,15950000000
180,5.623,16040000000
180,5.346,16100000000
180,5.09,16140000000
180,4.852,16160000000
180,4.631,16160000000
180,4.426,16150000000
180,4.235,16130000000
180,4.057,16100000000
180,3.891,16050000000
180,3.735,16000000000
180,3.589,15930000000
180,3.453,15860000000
180,3.325,15790000000
180,3.204,15700000000
180,3.09,15620000000
180,2.983,15520000000
180,2.881,15430000000
180,2.785,15330000000
180,2.694,15220000000
180,2.608,15120000000
180,2.526,15010000000
180,2.448,14890000000
180,2.374,14780000000
180,2.303,14660000000
180,2.235,14550000000
180,2.171,14430000000
180,2.109,14300000000
180,2.05,14180000000
180,1.993,14060000000
180,1.939,13930000000
180,1.887,13810000000
180,1.837,13680000000
180,1.788,13550000000
180,1.742,13430000000
180,1.697,13300000000
180,1.654,13170000000
180,1.613,13040000000
180,1.573,12910000000
180,1.534,12780000000
180,1.497,12650000000
180,1.461,12520000000
180,1.426,12390000000
180,1.392,12260000000
180,1.359,12130000000
360,24.51,148300000
360,24.31,184500000
360,24.11,228200000
360,23.9,280400000
360,23.67,342200000
360,23.42,414800000
360,23.12,499300000
360,22.78,597000000
360,22.38,709500000
360,21.92,838000000
360,21.39,983900000
360,20.79,1148000000
360,20.14,1331000000
360,19.42,1533000000
360,18.67,1752000000
360,17.88,1986000000
360,17.07,2234000000
360,16.26,2490000000
360,15.44,2752000000
360,14.64,3016000000
360,13.86,3277000000
360,13.1,3533000000
360,12.38,3781000000
360,11.69,4017000000
360,11.03,4239000000
360,10.41,4447000000
360,9.826,4638000000
360,9.278,4813000000
360,8.765,4971000000
360,8.285,5112000000
360,7.837,5236000000
360,7.419,5344000000
360,7.029,5437000000
360,6.665,5516000000
360,6.326,5581000000
360,6.011,5634000000
360,5.717,5676000000
360,5.443,5707000000
360,5.188,5729000000
360,4.95,5743000000
360,4.728,5750000000
360,4.521,5750000000
360,4.328,5745000000
360,4.148,5735000000
360,3.979,5721000000
360,3.821,5703000000
360,3.673,5681000000
360,3.535,5658000000
360,3.404,5631000000
360,3.282,5603000000
360,3.167,5573000000
360,3.058,5542000000
360,2.956,5510000000
360,2.859,5476000000
360,2.767,5442000000
360,2.681,5407000000
360,2.598,5371000000
360,2.52,5335000000
360,2.446,5299000000
360,2.375,5262000000
360,2.307,5225000000
360,2.243,5187000000
360,2.181,5150000000
360,2.122,5112000000
360,2.066,5074000000
360,2.012,5036000000
360,1.96,4998000000
360,1.91,4960000000
360,1.863,4921000000
360,1.817,4883000000
360,1.772,4845000000
360,1.73,4806000000
360,1.688,4768000000
360,1.649,4729000000
360,1.611,4691000000
360,1.574,4652000000
360,1.538,4613000000
360,1.503,4575000000
360,1.47,4536000000
360,1.437,4497000000
360,1.406,4458000000
540,24.18,117700000
540,23.98,143700000
540,23.75,174100000
540,23.5,209400000
540,23.21,250100000
540,22.88,296800000
540,22.48,350300000
540,22.02,411300000
540,21.49,480400000
540,20.9,558500000
540,20.24,645600000
540,19.54,742000000
540,18.79,847200000
540,18.01,960300000
540,17.21,1080000000
540,16.4,1206000000
540,15.6,1335000000
540,14.81,1466000000
540,14.04,1597000000
